,Price,Area,BHK,Location,Type,Price_num,Price/Sqft
142,82 Lac,1787.0,3,Bikarnakatta,Flat,8200000.0,4589.0
143,32 Lac,1560.0,2,Others,Flat,3200000.0,2051.0
144,76.2 Lac,1330.0,3,Kottara,Flat,7620000.0,5729.0
145,61 Lac,1055.0,2,Kottara,Flat,6100000.0,5782.0
147,75 Lac,1755.0,2,Kulashekara,Flat,7500000.0,4274.0
148,1.07 Cr,1810.0,3,Bondel,Flat,10700000.0,5912.0
149,1018.80 Cr,1415.0,3,Padukodi,Flat,10188000000.0,7200000.0
150,1249.50 Cr,1470.0,3,Padukodi,Flat,12495000000.0,8500000.0
152,49.3 Lac,985.0,2,Nagar,Flat,4930000.0,5005.0
153,28 Lac,840.0,1,Nagar,Flat,2800000.0,3333.0
154,97 Lac,2115.0,3,Bejai,Flat,9700000.0,4586.0
155,77 Lac,1794.0,2,Bejai,Flat,7700000.0,4292.0
156,96 Lac,2115.0,3,Bejai,Flat,9600000.0,4539.0
157,3409.06 Cr,2132.0,3,Bendoorwell,Flat,34090600000.0,15989962.0
158,5247.01 Cr,2645.0,4,Bendoorwell,Flat,52470100000.0,19837467.0
159,60.5 Lac,465.0,1,Balmatta,Flat,6050000.0,13011.0
160,45 Lac,1200.0,3,Others,Flat,4500000.0,3750.0
161,65 Lac,1620.0,3,Pandeshwar,Flat,6500000.0,4012.0
162,99 Lac,1950.0,2,Nantoor,Flat,9900000.0,5077.0
163,48.5 Lac,1725.0,2,Padil,Flat,4850000.0,2812.0
164,98 Lac,1450.0,2,Kadri,Flat,9800000.0,6759.0
165,65 Lac,1260.0,2,Urwa,Flat,6500000.0,5159.0
166,1.52 Cr,1942.0,3,Kudroli,Flat,15200000.0,7827.0
167,50 Lac,1650.0,2,Jeppinamogaru,Flat,5000000.0,3030.0
168,38220.59 Cr,6912.0,6,Kadri,Flat,382205899999.99994,55295992.0
169,36 Lac,1575.0,2,Maroli,Flat,3600000.0,2286.0
170,1.80 Cr,3600.0,4,Lalbagh,Flat,18000000.0,5000.0
171,88 Lac,1700.0,3,Lalbagh,Flat,8800000.0,5176.0
172,92 Lac,1700.0,3,Lalbagh,Flat,9200000.0,5412.0
173,40 Lac,950.0,2,Lalbagh,Flat,4000000.0,4211.0
174,78 Lac,1175.0,2,Kodailbail,Flat,7800000.0,6638.0
176,47 Lac,1575.0,2,Pumpwell,Flat,4700000.0,2984.0
177,1.05 Cr,1870.0,3,Kulai,Flat,10500000.0,5615.0
178,42 Lac,1584.0,2,Surathkal,Flat,4200000.0,2652.0
179,1.35 Cr,2250.0,3,Boloor,Flat,13500000.0,6000.0
180,30 Lac,850.0,2,Others,Flat,3000000.0,3529.0
181,42 Lac,1500.0,2,Bejai,Flat,4200000.0,2800.0
182,98 Lac,1450.0,2,Kadri,Flat,9800000.0,6759.0
184,2.19 Cr,3250.0,4,Kadri,Flat,21900000.0,6738.0
185,2.66 Cr,3950.0,4,Kadri,Flat,26600000.0,6734.0
186,2.90 Cr,4300.0,4,Kadri,Flat,29000000.0,6744.0
187,3.11 Cr,4615.0,4,Kadri,Flat,31100000.0,6739.0
188,38 Lac,1115.0,2,Gurupura,Flat,3800000.0,3408.0
189,68 Lac,1575.0,2,Others,Flat,6800000.0,4317.0
190,1.03 Cr,1525.0,2,Kadri,Flat,10300000.0,6754.0
191,1.35 Cr,2005.0,3,Kadri,Flat,13500000.0,6733.0
193,60 Lac,1091.0,2,Derebail,Flat,6000000.0,5500.0
194,Call for Price,1400.0,2,Kuntikana,Flat,,
196,35 Lac,1250.0,2,Mukka,Flat,3500000.0,2800.0
197,1.08 Cr,1780.0,3,Kankanady,Flat,10800000.0,6067.0
198,81 Lac,1542.0,3,Nagar,Flat,8100000.0,5253.0
199,85 Lac,1800.0,3,Bikarnakatta,Flat,8500000.0,4722.0
200,50 Lac,1170.0,2,Kulshekar,Flat,5000000.0,4274.0
202,52 Lac,1210.0,2,Thokkttu,Flat,5200000.0,4298.0
203,48 Lac,2175.0,3,Moodabidri,Flat,4800000.0,2207.0
204,30 Lac,690.0,2,Kulshekar,Flat,3000000.0,4348.0
205,45.3 Lac,1090.0,2,Kulshekar,Flat,4530000.0,4156.0
208,67 Lac,1100.0,2,Urwa,Flat,6700000.0,6091.0
210,72 Lac,2175.0,3,Kadri,Flat,7200000.0,3310.0
211,2.81 Cr,2100.0,3,Chilimbi,Flat,28100000.0,13381.0
212,67 Lac,1725.0,2,Nagar,Flat,6700000.0,3884.0
214,75 Lac,1175.0,0,Kodailbail,Flat,7500000.0,6383.0
215,1.12 Cr,2175.0,3,Derebail,Flat,11200000.000000002,5149.0
216,11 Lac,450.0,1,Kankanady,Flat,1100000.0,2444.0
217,1 Cr,2250.0,3,Lalbagh,Flat,10000000.0,4444.0
218,45 Lac,1755.0,2,Kulshekar,Flat,4500000.0,2564.0
219,28 Lac,630.0,2,Others,Flat,2800000.0,4444.0
221,79.1 Lac,1396.5,2,Bondel,Flat,7909999.999999999,5664.0
222,65 Lac,1091.0,2,Derebail,Flat,6500000.0,5958.0
223,Call for Price,1590.0,2,Others,Flat,,
224,57 Lac,1175.0,2,Kottara,Flat,5700000.0,4851.0
225,60.1 Lac,1470.0,2,Derebail,Flat,6010000.0,4088.0
227,98.4 Lac,1405.0,2,Kadri,Flat,9840000.0,7004.0
228,39 Lac,730.0,2,Nagar,Flat,3900000.0,5342.0
229,3.15 Cr,3300.0,3,Kadri,Flat,31500000.0,9545.0
231,73 Lac,1912.5,2,Others,Flat,7300000.0,3817.0
232,45 Lac,1170.0,2,Pumpwell,Flat,4500000.0,3846.0
233,32 Lac,900.0,2,Derebail,Flat,3200000.0,3556.0
234,43 Lac,1537.5,2,Nagar,Flat,4300000.0,2797.0
235,47 Lac,1245.0,2,Urwa,Flat,4700000.0,3775.0
236,1.10 Cr,1670.0,3,Balmatta,Flat,11000000.0,6587.0
237,65 Lac,1048.0,2,Mannagudda,Flat,6500000.0,6202.0
238,16.5 Lac,750.0,1,Kulshekar,Flat,1650000.0,2200.0
240,34 Lac,1410.0,2,Kavoor,Flat,3400000.0,2411.0
243,2.08 Cr,2870.0,4,Pumpwell,Flat,20800000.0,7247.0
244,1.18 Cr,1831.0,3,Pumpwell,Flat,11800000.0,6445.0
245,1.08 Cr,1646.0,3,Pumpwell,Flat,10800000.0,6561.0
246,81.4 Lac,1224.0,2,Pumpwell,Flat,8140000.000000001,6650.0
247,40 Lac,1650.0,2,Kavoor,Flat,4000000.0,2424.0
248,82 Lac,1600.0,2,Yeyyadi,Flat,8200000.0,5125.0
249,20 Lac,470.0,1,Nagar,Flat,2000000.0,4255.0
250,52.3 Lac,1260.0,3,Kulshekar,Flat,5230000.0,4151.0
251,56.9 Lac,1370.0,3,Kulshekar,Flat,5690000.0,4153.0
252,43.6 Lac,1050.0,2,Kulshekar,Flat,4360000.0,4152.0
253,34 Lac,740.0,2,Kulshekar,Flat,3400000.0,4595.0
254,41.9 Lac,1010.0,2,Kulshekar,Flat,4190000.0,4149.0
255,44.4 Lac,1070.0,2,Kulshekar,Flat,4440000.0,4150.0
256,55 Lac,1600.0,2,Kadri,Flat,5500000.0,3438.0
257,1 Cr,1740.0,2,Kankanady,Flat,10000000.0,5747.0
258,60 Lac,1485.0,3,Bejai,Flat,6000000.0,4040.0
259,56.2 Lac,1070.0,2,Nagar,Flat,5620000.0,5252.0
260,62 Lac,1800.0,2,Bondel,Flat,6200000.0,3444.0
261,1.30 Cr,2160.0,3,Derebail,Flat,13000000.0,6019.0
262,65 Lac,1699.0,3,Attavar,Flat,6500000.0,3826.0
263,68 Lac,1860.0,3,Bejai,Flat,6800000.0,3656.0
264,25 Lac,750.0,2,Kankanady,Flat,2500000.0,3333.0
265,51 Lac,1837.5,2,Subhashnagar,Flat,5100000.0,2776.0
266,3.10 Cr,4050.0,3,Kadri,Flat,31000000.0,7654.0
267,18 Lac,750.0,1,Boloor,Flat,1800000.0,2400.0
268,33 Lac,1500.0,2,Mary Hill,Flat,3300000.0,2200.0
269,52 Lac,1635.0,2,Car Street,Flat,5200000.0,3180.0
270,45 Lac,1160.0,2,Road,Flat,4500000.0,3879.0
271,61 Lac,1430.0,3,Kadri,Flat,6100000.0,4266.0
274,90 Lac,2025.0,3,Kadri,Flat,9000000.0,4444.0
275,1.65 Cr,3352.5,3,Urwa,Flat,16500000.0,4922.0
278,1.03 Cr,1525.0,2,Kadri,Flat,10300000.0,6754.0
279,1.35 Cr,2005.0,3,Kadri,Flat,13500000.0,6733.0
280,1.51 Cr,2255.0,3,Kadri,Flat,15100000.0,6696.0
281,70 Lac,1390.0,2,Kadri,Flat,7000000.0,5036.0
282,50 Lac,1875.0,2,Others,Flat,5000000.0,2667.0
283,Call for Price,1140.0,2,Road,Flat,,
284,30 Lac,1000.0,2,Moodabidri,Flat,3000000.0,3000.0
285,42 Lac,1200.0,2,Shivabagh,Flat,4200000.0,3500.0
286,Call for Price,2070.0,3,Nantoor,Flat,,
287,90 Lac,2220.0,3,Padil,Flat,9000000.0,4054.0
288,75 Lac,2625.0,3,Kodalguttu,Flat,7500000.0,2857.0
289,1.22 Cr,2475.0,3,Kadri,Flat,12200000.0,4929.0
290,25 Lac,800.0,2,Bunder,Flat,2500000.0,3125.0
291,55 Lac,1100.0,2,Bunder,Flat,5500000.0,5000.0
292,74 Lac,1837.5,2,Matadakani,Flat,7400000.0,4027.0
293,50 Lac,1200.0,3,Kulashekara,Flat,5000000.0,4167.0
294,55 Lac,1570.0,3,Kulashekara,Flat,5500000.0,3503.0
295,75 Lac,1537.5,2,Pumpwell,Flat,7500000.0,4878.0
296,84 Lac,1974.0,2,Padavinangady,Flat,8400000.0,4255.0
297,79 Lac,1650.0,2,Urwa,Flat,7900000.0,4788.0
298,30 Lac,900.0,2,Maroli,Flat,3000000.0,3333.0
300,40 Lac,700.0,2,Ballalbagh,Flat,4000000.0,5714.0
301,45 Lac,900.0,2,Ballalbagh,Flat,4500000.0,5000.0
302,1.10 Cr,2445.0,3,Attavar,Flat,11000000.0,4499.0
303,37 Lac,800.0,1,Attavar,Flat,3700000.0,4625.0
304,68.3 Lac,1390.0,2,Mangaladevi,Flat,6830000.0,4914.0
305,1.15 Cr,1625.0,3,Bejai,Flat,11500000.0,7077.0
309,75 Lac,1675.0,3,Others,Flat,7500000.0,4478.0
310,75 Lac,1250.0,2,Ballalbagh,Flat,7500000.0,6000.0
311,50 Lac,1200.0,2,Surathkal,Flat,5000000.0,4167.0
313,46.6 Lac,1165.0,3,Kulshekar,Flat,4660000.0,4000.0
314,27 Lac,1237.5,2,road,Flat,2700000.0,2182.0
316,65.4 Lac,2115.0,3,Others,Flat,6540000.000000001,3092.0
317,42 Lac,880.0,2,Kottara,Flat,4200000.0,4773.0
318,45 Lac,1710.0,2,Others,Flat,4500000.0,2632.0
319,75 Lac,2202.0,3,Nagar,Flat,7500000.0,3406.0
320,46 Lac,1497.0,2,Others,Flat,4600000.0,3073.0
321,30 Lac,701.0,1,Kulshekar,Flat,3000000.0,4280.0
322,70 Lac,1080.0,2,Kuntikana,Flat,7000000.0,6481.0
323,52 Lac,1000.0,2,Kottara,Flat,5200000.0,5200.0
324,1.05 Cr,1435.0,3,Bejai,Flat,10500000.0,7317.0
325,40 Lac,770.0,1,Others,Flat,4000000.0,5195.0
326,1.25 Cr,1625.0,3,Bejai,Flat,12500000.0,7692.0
327,1.20 Cr,1675.5,2,Bejai,Flat,12000000.0,7162.0
329,1.05 Cr,2925.0,3,Bendoorwell,Flat,10500000.0,3590.0
330,31.3 Lac,1072.5,2,Kulshekar,Flat,3130000.0,2918.0
331,65.4 Lac,2250.0,3,Kulshekar,Flat,6540000.000000001,2907.0
332,65 Lac,2355.0,3,Others,Flat,6500000.0,2760.0
333,1332.66 Cr,1333.0,2,Kudroli,Flat,13326600000.0,9997449.0
334,1.12 Cr,1625.0,3,Bejai,Flat,11200000.000000002,6892.0
335,372.64 Cr,910.0,2,Bondel,Flat,3726400000.0,4094945.0
336,41.9 Lac,932.0,2,Kulshekar,Flat,4190000.0,4496.0
337,79 Lac,1360.0,3,Derebail,Flat,7900000.0,5809.0
338,32.6 Lac,701.0,1,Kulshekar,Flat,3260000.0,4650.0
339,80 Lac,2580.0,3,Kadri,Flat,8000000.0,3101.0
340,42 Lac,2100.0,3,Kuttar,Flat,4200000.0,2000.0
341,42 Lac,1410.0,2,Nagar,Flat,4200000.0,2979.0
344,1.73 Cr,2299.0,3,Ladyhill,Flat,17300000.0,7525.0
346,1.56 Cr,1987.0,3,Kudroli,Flat,15600000.0,7851.0
347,69 Lac,1055.0,2,Bejai,Flat,6900000.0,6540.0
348,2.52 Cr,3366.0,4,Ladyhill,Flat,25200000.0,7487.0
349,55 Lac,1150.0,2,Derebail,Flat,5500000.0,4783.0
350,40 Lac,1400.0,2,Thokkttu,Flat,4000000.0,2857.0
351,48 Lac,1875.0,3,Derebail,Flat,4800000.0,2560.0
352,45 Lac,1200.0,2,Others,Flat,4500000.0,3750.0
354,42 Lac,1047.0,2,Others,Flat,4200000.0,4011.0
355,65 Lac,1755.0,2,Kadri,Flat,6500000.0,3704.0
357,50 Lac,1400.0,3,Road,Flat,5000000.0,3571.0
358,90 Lac,2625.0,3,Mallikatte,Flat,9000000.0,3429.0
359,1.31 Cr,1625.0,3,Bejai,Flat,13100000.0,8062.0
360,48 Lac,1200.0,2,Surathkal,Flat,4800000.0,4000.0
361,1.77 Cr,2363.0,3,Ladyhill,Flat,17700000.0,7490.0
362,3.98 Cr,4291.0,3,Kudroli,Flat,39800000.0,9275.0
363,1.62 Cr,2074.0,3,Kudroli,Flat,16200000.000000002,7811.0
364,1.54 Cr,1967.0,3,Kudroli,Flat,15400000.0,7829.0
365,1.88 Cr,1715.0,2,Kudroli,Flat,18800000.0,10962.0
366,1.20 Cr,1870.0,3,Kulai,Flat,12000000.0,6417.0
367,663.06 Cr,1010.0,2,Urwa,Flat,6630599999.999999,6564950.0
369,58 Lac,1120.0,2,Kavoor,Flat,5800000.0,5179.0
370,57 Lac,1780.5,2,Kulshekar,Flat,5700000.0,3201.0
371,1.50 Cr,1940.0,3,Kadri,Flat,15000000.0,7732.0
373,69 Lac,1582.5,2,Others,Flat,6900000.0,4360.0
374,1.05 Cr,1279.0,2,Road,Flat,10500000.0,8210.0
375,1.95 Cr,3111.0,3,Others,Flat,19500000.0,6268.0
376,1.30 Cr,2670.0,3,Derebail,Flat,13000000.0,4869.0
377,18 Lac,450.0,1,Kulshekar,Flat,1800000.0,4000.0
380,15.7 Lac,800.0,2,Kulashekara,Flat,1570000.0,1962.0
381,45 Lac,1170.0,2,Kulashekara,Flat,4500000.0,3846.0
382,99 Lac,2377.5,2,Urwa,Flat,9900000.0,4164.0
383,53 Lac,1725.0,2,Kulshekar,Flat,5300000.0,3072.0
384,26 Lac,850.0,2,Road,Flat,2600000.0,3059.0
385,32 Lac,1000.0,2,Attavar,Flat,3200000.0,3200.0
386,25 Lac,470.0,1,Bondel,Flat,2500000.0,5319.0
388,1.85 Cr,2237.0,4,Bejai,Flat,18500000.0,8270.0
390,1.05 Cr,1278.0,2,Bejai,Flat,10500000.0,8216.0
391,40 Lac,1035.0,2,Derlakatte,Flat,4000000.0,3865.0
392,30 Lac,980.0,2,Others,Flat,3000000.0,3061.0
393,932.20 Cr,1154.0,2,Chilimbi,Flat,9322000000.0,8077990.0
394,65 Lac,2025.0,3,Urwa,Flat,6500000.0,3210.0
395,62 Lac,1550.0,3,Kulashekara,Flat,6200000.0,4000.0
396,85 Lac,2775.0,3,Others,Flat,8500000.0,3063.0
397,58 Lac,1500.0,2,Bendoor,Flat,5800000.0,3867.0
399,45 Lac,1590.0,2,Pandeshwar,Flat,4500000.0,2830.0
402,1.15 Cr,1345.0,2,Road,Flat,11500000.0,8550.0
403,28 Lac,975.0,1,Others,Flat,2800000.0,2872.0
404,24 Lac,490.0,1,Kulshekar,Flat,2400000.0,4898.0
405,24 Lac,760.0,2,Kaprigudda,Flat,2400000.0,3158.0
406,50 Lac,1000.0,2,Road,Flat,5000000.0,5000.0
407,1.15 Cr,1345.0,2,Road,Flat,11500000.0,8550.0
409,1.15 Cr,1344.0,2,Bejai,Flat,11500000.0,8557.0
410,1.15 Cr,1345.0,2,Bejai,Flat,11500000.0,8550.0
411,1.05 Cr,1279.0,2,Bejai,Flat,10500000.0,8210.0
412,1.85 Cr,2237.0,4,Road,Flat,18500000.0,8270.0
413,1.50 Cr,1740.0,3,Road,Flat,15000000.0,8621.0
414,1.35 Cr,1589.0,3,Road,Flat,13500000.0,8496.0
415,67 Lac,1875.0,2,Mannagudda,Flat,6700000.0,3573.0
416,23 Lac,980.0,2,Others,Flat,2300000.0,2347.0
417,35 Lac,1000.0,2,Mannagudda,Flat,3500000.0,3500.0
418,55 Lac,1699.5,2,Others,Flat,5500000.0,3236.0
419,80 Lac,1250.0,2,Kulai,Flat,8000000.0,6400.0
420,46 Lac,1035.0,2,Bejai,Flat,4600000.0,4444.0
421,45 Lac,1212.0,2,Kottara,Flat,4500000.0,3713.0
424,1.45 Cr,2400.0,3,Bejai,Flat,14500000.0,6042.0
425,1.05 Cr,1279.0,2,Road,Flat,10500000.0,8210.0
427,65 Lac,2400.0,3,Pumpwell,Flat,6500000.0,2708.0
429,75 Lac,1425.0,3,Kodailbail,Flat,7500000.0,5263.0
432,45 Lac,1080.0,2,Nagar,Flat,4500000.0,4167.0
436,55 Lac,994.0,2,Kottara,Flat,5500000.0,5533.0
438,1.20 Cr,2400.0,3,Others,Flat,12000000.0,5000.0
440,1.78 Cr,1681.5,2,Kulai,Flat,17800000.0,10586.0
441,27 Lac,800.0,2,Bondel,Flat,2700000.0,3375.0
442,2.65 Cr,2433.0,3,Kulai,Flat,26500000.0,10892.0
448,2.80 Cr,4775.0,5,Kadri,Flat,28000000.0,5864.0
449,75 Lac,2250.0,3,Others,Flat,7500000.0,3333.0
450,42 Lac,1147.5,0,Kadri,Flat,4200000.0,3660.0
451,1.30 Cr,3150.0,3,Falnir,Flat,13000000.0,4127.0
